time,value
-0.00942837,0
-0.0094282,0
-0.00942803,0
-0.00942786,0
-0.00942769,0
-0.00942752,1
-0.00942735,1
-0.00942718,0
-0.00942701,0
-0.00942684,0
-0.00942667,1
-0.0094265,1
-0.00942633,0
-0.00942616,0
-0.00942599,1
-0.00942582,1
-0.00942565,1
-0.00942548,0
-0.00942531,0
-0.00942514,0
-0.00942497,0
-0.0094248,1
-0.00942463,1
-0.00942446,1
-0.00942429,1
-0.00942412,1
-0.00942395,0
-0.00942378,0
-0.00942361,1
-0.00942344,1
-0.00942327,1
-0.0094231,0
-0.00942293,0
-0.00942276,0
-0.00942259,0
-0.00942242,0
-0.00942225,1
-0.00942208,1
-0.00942191,0
-0.00942174,0
-0.00942157,1
-0.0094214,1
-0.00942123,1
-0.00942106,0
-0.00942089,0
-0.00942072,1
-0.00942055,1
-0.00942038,0
-0.00942021,0
-0.00942004,0
-0.00941987,1
-0.0094197,1
-0.00941953,0
-0.00941936,0
-0.00941919,1
-0.00941902,1
-0.00941885,1
-0.00941868,0
-0.00941851,0
-0.00941834,0
-0.00941817,0
-0.009418,1
-0.00941783,1
-0.00941766,1
-0.00941749,1
-0.00941732,1
-0.00941715,0
-0.00941698,0
-0.00941681,1
-0.00941664,1
-0.00941647,1
-0.0094163,0
-0.00941613,0
-0.00941596,0
-0.00941579,0
-0.00941562,0
-0.00941545,1
-0.00941528,1
-0.00941511,1
-0.00941494,1
-0.00941477,0
-0.0094146,0
-0.00941443,0
-0.00941426,0
-0.00941409,0
-0.00941392,0
-0.00941375,0
-0.00941358,1
-0.00941341,1
-0.00941324,1
-0.00941307,1
-0.0094129,1
-0.00941273,0
-0.00941256,0
-0.00941239,1
-0.00941222,1
-0.00941205,1
-0.00941188,0
-0.00941171,0
-0.00941154,0
-0.00941137,0
-0.0094112,1
-0.00941103,1
-0.00941086,1
-0.00941069,1
-0.00941052,1
-0.00941035,0
-0.00941018,0
-0.00941001,1
-0.00940984,1
-0.00940967,1
-0.0094095,0
-0.00940933,0
-0.00940916,0
-0.00940899,0
-0.00940882,0
-0.00940865,0
-0.00940848,0
-0.00940831,1
-0.00940814,1
-0.00940797,1
-0.0094078,1
-0.00940763,1
-0.00940746,1
-0.00940729,1
-0.00940712,0
-0.00940695,0
-0.00940678,0
-0.00940661,0
-0.00940644,0
-0.00940627,1
-0.0094061,1
-0.00940593,0
-0.00940576,0
-0.00940559,0
-0.00940542,0
-0.00940525,0
-0.00940508,1
-0.00940491,1
-0.00940474,1
-0.00940457,1
-0.0094044,0
-0.00940423,0
-0.00940406,0
-0.00940389,1
-0.00940372,1
-0.00940355,0
-0.00940338,0
-0.00940321,0
-0.00940304,0
-0.00940287,0
-0.0094027,1
-0.00940253,1
-0.00940236,0
-0.00940219,0
-0.00940202,0
-0.00940185,1
-0.00940168,1
-0.00940151,0
-0.00940134,0
-0.00940117,0
-0.009401,0
-0.00940083,0
-0.00940066,1
-0.00940049,1
-0.00940032,1
-0.00940015,1
-0.00939998,0
-0.00939981,0
-0.00939964,0
-0.00939947,0
-0.0093993,0
-0.00939913,1
-0.00939896,1
-0.00939879,1
-0.00939862,1
-0.00939845,1
-0.00939828,1
-0.00939811,1
-0.00939794,0
-0.00939777,0
-0.0093976,0
-0.00939743,0
-0.00939726,0
-0.00939709,0
-0.00939692,0
-0.00939675,1
-0.00939658,1
-0.00939641,1
-0.00939624,0
-0.00939607,0
-0.0093959,0
-0.00939573,0
-0.00939556,1
-0.00939539,1
-0.00939522,1
-0.00939505,1
-0.00939488,1
-0.00939471,1
-0.00939454,1
-0.00939437,0
-0.0093942,0
-0.00939403,0
-0.00939386,0
-0.00939369,0
-0.00939352,0
-0.00939335,0
-0.00939318,1
-0.00939301,1
-0.00939284,1
-0.00939267,1
-0.0093925,1
-0.00939233,0
-0.00939216,0
-0.00939199,0
-0.00939182,0
-0.00939165,0
-0.00939148,1
-0.00939131,1
-0.00939114,1
-0.00939097,1
-0.0093908,0
-0.00939063,0
-0.00939046,0
-0.00939029,0
-0.00939012,0
-0.00938995,1
-0.00938978,1
-0.00938961,1
-0.00938944,0
-0.00938927,0
-0.0093891,1
-0.00938893,1
-0.00938876,0
-0.00938859,0
-0.00938842,0
-0.00938825,1
-0.00938808,1
-0.00938791,0
-0.00938774,0
-0.00938757,1
-0.0093874,1
-0.00938723,1
-0.00938706,0
-0.00938689,0
-0.00938672,0
-0.00938655,0
-0.00938638,1
-0.00938621,1
-0.00938604,1
-0.00938587,0
-0.0093857,0
-0.00938553,1
-0.00938536,1
-0.00938519,1
-0.00938502,1
-0.00938485,1
-0.00938468,0
-0.00938451,0
-0.00938434,0
-0.00938417,0
-0.009384,1
-0.00938383,1
-0.00938366,1
-0.00938349,0
-0.00938332,0
-0.00938315,1
-0.00938298,1
-0.00938281,1
-0.00938264,0
-0.00938247,0
-0.0093823,0
-0.00938213,0
-0.00938196,1
-0.00938179,1
-0.00938162,1
-0.00938145,1
-0.00938128,1
-0.00938111,0
-0.00938094,0
-0.00938077,1
-0.0093806,1
-0.00938043,1
-0.00938026,0
-0.00938009,0
